DeviceId,Platform,Encryption,AuthenticationMethod,OSVersion,RootOrJailbreak,BitLocker,SecureBoot,TPM,DefenderAV,ComplianceStatusBefore,ComplianceStatusAfter
AND-001,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-002,Android,Yes (AES),4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-003,Android,No,Alphanumeric (8),12.0,Clean,,,,,Compliant,Compliant
AND-004,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-005,Android,No,Biometric + PIN,14.0,Rooted,,,,,Noncompliant,Compliant
AND-006,Android,No,4-digit PIN,13.0,Clean,,,,,Noncompliant,Compliant
AND-007,Android,Yes (AES),Alphanumeric (8),14.0,Rooted,,,,,Noncompliant,Compliant
AND-008,Android,Yes (AES),Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-009,Android,No,4-digit PIN,14.0,Clean,,,,,Noncompliant,Compliant
AND-010,Android,Yes (AES),Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-011,Android,No,Biometric + PIN,11.0,Rooted,,,,,Noncompliant,Compliant
AND-012,Android,Yes (AES),Alphanumeric (8),12.0,Clean,,,,,Noncompliant,Compliant
AND-013,Android,Yes (AES),4-digit PIN,12.0,Clean,,,,,Compliant,Compliant
AND-014,Android,No,Biometric + PIN,13.0,Clean,,,,,Compliant,Compliant
AND-015,Android,Yes (AES),Biometric + PIN,13.0,Rooted,,,,,Noncompliant,Compliant
AND-016,Android,Yes (AES),4-digit PIN,14.0,Clean,,,,,Compliant,Compliant
AND-017,Android,No,Alphanumeric (8),14.0,Clean,,,,,Noncompliant,Compliant
AND-018,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-019,Android,No,Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-020,Android,Yes (AES),4-digit PIN,12.0,Rooted,,,,,Noncompliant,Compliant
AND-021,Android,Yes (AES),Alphanumeric (8),13.0,Rooted,,,,,Noncompliant,Compliant
AND-022,Android,No,Biometric + PIN,12.0,Clean,,,,,Compliant,Compliant
